run_id,model,engine,cell,task,rep,prompt_tokens,completion_tokens,prefill_tps,decode_tps,ttft_s,warm_prefill_tps,warm_ttft_s,wall_s,correct,score,flags
20260618-220001,qwen,main,spd_main_600_long,needle_long,2,638,1450,58.5,15.17,10.89,16.9,0.06,106.53,PASS,1.0,
20260618-220001,qwen,main,spd_main_600_long,needle_long,3,638,1446,59.01,15.16,10.79,17.01,0.06,106.25,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_short,needle_short,1,4378,5,40.8,11.28,107.27,9.49,0.11,107.77,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_short,needle_short,2,4378,5,40.89,11.86,107.04,8.88,0.11,107.52,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_short,needle_short,3,4378,5,40.79,11.8,107.32,9.54,0.1,107.79,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_long,needle_long,1,4417,1542,40.88,8.75,108.02,9.36,0.11,284.37,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_long,needle_long,2,4417,1578,40.68,8.71,108.55,9.43,0.11,289.7,PASS,1.0,
20260618-220001,qwen,main,spd_main_4k_long,needle_long,3,4417,2000,40.86,8.54,108.07,9.28,0.11,342.19,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_short,needle_short,1,17873,5,18.94,3.41,943.47,2.7,0.37,945.02,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_short,needle_short,2,17873,5,18.93,3.42,944.11,2.77,0.36,945.66,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_short,needle_short,3,17873,5,18.97,3.59,942.21,2.84,0.35,943.67,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_long,needle_long,1,17912,1907,18.91,2.56,947.11,2.81,0.36,1690.92,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_long,needle_long,2,17912,1639,18.84,2.56,950.48,2.68,0.37,1589.7,PASS,1.0,
20260618-220001,qwen,main,spd_main_16k_long,needle_long,3,17912,1707,18.9,2.5,947.71,2.66,0.38,1629.26,PASS,1.0,
20260618-220001,qwen,main,spd_main_30k_short,needle_short,1,None,None,0,0,0.0,0,0.0,0.13,FAIL,0.0,
20260618-220001,qwen,main,spd_main_30k_short,needle_short,2,None,None,0,0,0.0,0,0.0,0.13,FAIL,0.0,
20260618-220001,qwen,main,spd_main_30k_short,needle_short,3,None,None,0,0,0.0,0,0.0,0.13,FAIL,0.0,
20260618-220001,qwen,main,spd_main_30k_long,needle_long,1,None,None,0,0,0.0,0,0.0,0.14,FAIL,0.0,
20260618-220001,qwen,main,spd_main_30k_long,needle_long,2,None,None,0,0,0.0,0,0.0,0.13,FAIL,0.0,
20260618-220001,qwen,main,spd_main_30k_long,needle_long,3,None,None,0,0,0.0,0,0.0,0.26,FAIL,0.0,
20260618-220001,qwen,main,qual_main_needle,needle_short,1,17873,5,18.95,3.44,943.1,2.68,0.37,944.65,PASS,1.0,
20260618-220001,qwen,main,qual_main_needle,needle_short,2,17873,5,18.95,3.47,943.0,2.5,0.4,944.52,PASS,1.0,
20260618-220001,qwen,main,qual_main_needle,needle_short,3,17873,5,18.94,3.26,943.59,2.71,0.37,945.2,PASS,1.0,
20260618-220001,qwen,main,qual_main_summ,summ,1,17965,262,18.58,2.62,966.9,2.64,0.38,1067.08,FAIL,0.375,
20260618-220001,qwen,main,qual_main_summ,summ,2,17965,383,18.73,2.75,959.22,2.81,0.36,1098.7,FAIL,0.375,
20260618-220001,qwen,main,qual_main_summ,summ,3,17965,308,18.74,2.67,958.4,2.72,0.37,1073.75,FAIL,0.375,
